Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1965,NaN,NaN,NaN,2.92,3.91,3.57,3.72,1.87,5.57,1.11,1.23,0.6,NaN
1966,0.37,0.49,3.08,1.09,1.29,2.78,7.31,3.3,0.58,0.85,0.31,0.92,22.37
1967,1.76,0.32,0.56,3.2,0.14,2.45,0.58,0.34,1.35,1.12,0.09,0.82,12.73
1968,0.53,0.11,0.74,2.5,1.58,6.48,4.89,3.59,1.65,0.46,0.18,0.66,23.37
1969,1.58,0.54,0.15,0.62,2.09,4.69,1.42,1.97,3.61,1.12,0.05,0.76,18.6
1970,0.65,0.27,0.94,1,3.9,2.36,2.49,1.23,3.29,0.82,1.12,1.24,19.31
1971,1.11,0.28,0.72,0.99,2.1,2.94,4.27,2.48,2.57,3.05,0.45,0.35,21.31
1972,0.52,0.64,0.7,2.55,1.32,0.81,1.46,1.55,2.42,0.51,0.27,0.86,13.61
1973,0.11,0.12,0.9,0.54,2.6,1.77,0.92,1.58,4.85,2.01,0.77,1.04,17.21
1974,0.75,0.69,0.42,3.62,3.55,1.44,2.48,5.1,0.54,1.29,0.74,0.45,21.07
1975,1.61,0.38,1.08,2.18,0.77,4.97,1.31,1.63,0.46,1.88,0.91,0.21,17.39
1976,1.48,0.54,1.36,1.1,0.47,3.08,1.87,2.54,0.58,0.32,0.03,0.35,13.72
1977,0.55,1.41,1.16,0.41,3.55,1.57,3.89,2.53,3.4,1.61,2.7,0.83,23.61
1978,0.26,0.35,0.2,0.74,2.71,1.24,2.61,4.01,3.91,0.27,0.79,0.63,17.72
1979,0.52,1.4,1.63,3.18,1.66,2.17,3.37,1.81,0.44,1.57,0.22,0.07,18.04
1980,0.9,0.39,0.58,0,0.83,1.45,1.86,4.88,2.12,1.17,0.93,0.24,15.35
1981,0.17,0.61,0.74,0.78,1.25,4.52,1.31,2.26,5.02,2.46,0.59,0.25,19.96
1982,1.59,0.26,1.1,0.38,2.81,3.28,3.3,1.42,1.56,5,0.72,0.43,21.85
1983,0.42,0.33,1.95,0.38,1.79,3.66,2.97,3.59,3.03,2.26,0.76,0.62,21.76
1984,0.56,0.5,0.59,1.83,0.82,5.98,1.96,3.64,0.33,4.24,0.25,1.23,21.93
1985,0.39,0.33,1.31,0.68,4.32,2.03,1.32,3.17,1.1,1.73,1.47,0.37,18.22
1986,0.59,0.4,0.04,2.02,1.81,1.07,3.71,1.58,2.4,0.35,1.96,0.36,16.29
1987,0.52,1.54,0.54,0.28,3.76,1.66,5.84,3.59,1.86,0.32,0.5,0.37,20.78
1988,0.87,0.15,0.91,0,1.67,1.34,3.73,1.34,2,0.3,0.68,1.96,14.95
1989,1.71,0.11,1.35,0.33,2.16,1.55,0.49,3.18,0.86,0.17,0.47,0.23,12.61
1990,0.22,0.32,2.27,2.18,1.01,4.06,1.74,2.29,1.83,0.35,0.03,0.56,16.86
1991,0.35,0.79,0.4,3.18,3.75,3.22,3.07,1.67,3.45,2.09,0.5,0.38,22.85
1992,0.63,0.47,0.82,1.21,3.11,4.01,1.19,2.72,1.5,0.08,0.98,0.8,17.52
1993,0.4,0.09,0.35,0.41,1.61,4.59,7.49,4.9,0.77,0.33,1.08,0.5,22.52
1994,0.61,0.58,0.38,1.15,1.39,5.5,4.67,2.72,1.41,3.23,2.15,0.1,23.89
1995,0.43,NaN,1.65,0.49,1.96,2.95,9.08,3.23,2.41,2.15,1.45,0.64,NaN
1996,1.08,0.79,0.95,0.62,3.16,1.39,3.05,0.96,1.94,1.26,1.8,1.32,18.32
1997,0.6,0.3,0.85,1.64,2.06,2.63,6.51,2.75,1.77,NaN,NaN,NaN,NaN
1998,0.45,1.49,0.08,1.04,2.37,5.31,2.3,1.68,0.26,5.79,1.73,0.24,22.74
1999,0.99,0.23,1.04,1.9,5.01,3.48,1.63,4.44,2.55,0.12,0,0.35,21.74
2000,0.07,1.65,0.56,1.06,0.84,7.2,2.32,2.45,1.53,2.51,3.94,0.53,24.66
2001,0.14,0.4,0.21,1.34,3.73,1.74,7.17,3.2,1.37,1.5,0.43,0.28,21.51
2002,0.06,0.03,0.37,0.77,1.66,6.03,4.36,6.21,0.87,1,0.21,0.32,21.89
2003,0.22,0.19,0.47,1,4.27,3.25,2.87,1,2.38,0.73,0.71,0.67,17.76
2004,0.73,0.34,1.59,0.41,5.74,0.68,2.05,2.34,4.24,2.19,0.11,0.96,21.38
2005,0.69,0.17,0.3,0.65,3.89,7.5,0.91,5.27,1.27,2.16,1.33,0.5,24.64
2006,0.61,0.57,1.34,1.09,2.37,0.94,0.76,3.18,2.45,1.03,0.42,0.62,15.38
2007,0.22,0.6,2.3,0.47,5.12,4.19,1.5,1.79,0.8,3.09,0.26,0.75,21.09
2008,0.05,0.59,0.5,0.53,1,2.96,4.21,2.55,4.39,4.2,2.37,0.98,24.33
2009,0.27,0.91,2.17,1.24,1.29,3.55,0.86,3.17,0.78,2.61,0.29,0.69,17.83
2010,0.69,0.44,1.45,1.3,4.56,4.03,2.16,4.12,5.28,2.44,0.58,0.72,27.77
2011,0.85,0.04,0.76,2.4,2.45,3.34,2.69,3.23,2.89,0.3,0.12,0.65,19.72
2012,0.38,0.51,1.79,1.45,1.75,2.38,3.35,2.01,0.2,2.14,0.85,0.31,17.12
2013,0.42,0.37,0.98,1.61,4.79,3.1,2.08,0.88,1.97,2.48,0.15,0.82,19.65
2014,0.69,0.41,0.93,2.62,2.56,6.6,3.7,3.2,1.29,0.37,0.31,0.22,22.9
2015,0.42,0.4,0.31,0.73,4.45,2.51,5.1,2.89,0.84,1.2,1.4,1.06,21.31
2016,0.32,0.26,0.55,1.56,3.7,3.3,5.3,3.53,4.16,1.1,1.33,1.61,26.72
2017,0.45,0.4,0.85,1.34,1.11,4.57,1.17,1.16,4.45,0.12,0.86,0.77,17.25
2018,0.5,0.43,1.85,0.35,1.55,4.41,3.76,1.81,2.22,3.04,0.58,0.63,21.13
2019,0.58,0.99,1.21,1.71,1.72,1.67,3.5,2.66,8.14,3.48,0.95,1.5,28.11
2020,0.78,0.12,0.26,0.94,1.05,5.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
